Brand,Name,Socket,Ram Slots,Price
Asus,TUF GAMING X570-PLUS (WI-FI),AM4,4,194.99
Asus,ROG STRIX B550-F GAMING (WI-FI),AM4,4,189.99
MSI,MAG B550 TOMAHAWK,AM4,4,179.99
MSI,B550-A Pro,AM4,4,131.99
Asus,ROG STRIX B450-F GAMING II,Am4,4,119.99
Asus,ROG STRIX B550-A GAMING,AM4,4,179.99
ASrock,B450M Pro4,AM4,4,109.53
MSI,B550M PRO-VDH WIFI,AM4,4,121.99
MSI,MPG B550 GAMING PLUS,AM4,4,159.99
MSI,MAG X570 TOMAHAWK WIFI,AM4,4,264.99
Asus,ROG Crosshair VIII Dark Hero X570,AM4,4,449.99
Gigabyte,B450M DS3H V2,AM4,4,74.99
MSI,MPG B550 GAMING EDGE WIFI,AM4,4,199.99
Asus,ROG Strix X570-E Gaming,AM4,4,329.99
Asus,ROG Strix B550-F GAMING,AM4,4,170
Gigabyte,B450 AORUS PRO WIFI (rev.1.0),AM4,4,109.99
Asus,ROG Strix X570-I Gaming,AM4,2,255.21
Gigabyte,B550M DS3H,AM4,4,95.99
MSI,B450 TOMAHAWK MAX,AM4,4,119.99
Gigabyte,B450M DS3H,AM4,4,77.98
Gigabyte,X570 AORUS ELITE WIFI,AM4,4,179.99
ASRock,B550M Pro4,AM4,4,114.99
Asus,PRIME B560M-A,LGA1200,4,104.95
Asus,PRIME B560-PLUS,LGA1200,4,157.99
MSI,H510M-A PRO,LGA1200,2,79.99
MSI,Z490-A PRO,LGA1200,4,172.99
MSI,MPG Z490 GAMING PLUS,LGA1200,4,158.5
Asus,TUF GAMING B560M-PLUS WIFI,LGA1200,4,149.99
Gigabyte,B560M DS3H,LGA1200,4,98.99
MSI,MAG B560 TOMAHAWK WIFI,LGA1200,4,169.99
MSI,B560M PRO_VDH WIFI,LGA1200,4,119.99
Asus,ROG STRIX Z590-E GAMING WIFI,LGA1200,4,349.38
MSI,MPG Z490 GAMING EDGE WIFI,LGA1200,4,189.99
Asus,TUF Gaming Z590-PLUS WIFI,LGA1200,4,232.99
MSI,B560M-A PRO,LGA1200,2,101.39
MSI,MPG B560I GAMING EDGE WIFI,LGA1200,2,237.56
Asus,PRIME Z590-P,LGA1200,4,169.99
Asus,ROG STRIX B560-A GAMING WIFI,LGA1200,4,170.99
MSI,Z590 PRo WIFI,LGA1200,4,179.99
ASRock,B560M Pro4,LGA1200,4,138.31
MSI,Z590-A PRO,LGA1200,4,149.99
Asus,ROG STRIX Z490-E GAMING,LGA1200,4,448.65
MSI,MAG B560M MORTAR WIFI,LGA1200,4,159.99
Asus,ROG MAXIMUS XIII HERO Z590,LGA1200,4,391.99
Gigabyte,Z690 UD DDR4,LGA1700,4,270.85
Asus,ROG STRIX Z690-A GAMING WIFI D4,LGA1700,4,349.99
MSI,PRO Z690-A DDR4,LGA1700,4,219.99
MSI,PRO X690-A WIFI DDR4,LGA1700,4,239.99
MSI,MAG Z690 TOMAHAWK WIFI DDR4,LGA1700,4,292.08
Asus,PRIME Z690-P D4,LGA1700,4,216.49
Asus,PRIME Z690-P WIFI D4,LGA1700,4,234.07
Gigabyte,Z690 GAMING X DDR4,LGA1700,4,283.22
Asus,ROG STRIX Z690-E GAMING WIFI,LGA1700,4,449.99
Asus,PRIME Z690M-PLUS D4,LGA1700,4,189.99
Asus,TUF GAMING Z690-PLUS WIFI D4,LGA1700,4,289.99
Asus,ROG STRIX Z690-F GAMING WIFI,LGA1700,4,374.95
Asus,PRIME H670_PLUS D4,LGA1700,4,159.99
MSI,MAG B660 TOMAHAWK WIFI DDR4,LGA1700,4,189.99
Asus,PRIME B660M-A D4,LGA1700,4,139.99
Asus,ROG STRIX Z690-I GAMING WIFI,LGA1700,2,439.99
Asus,PRIME Z690-A,LGA1700,4,279.99
Gigabyte,Z690I AORUS ULTRA DDR4,LGA1700,2,399.99
MSI,MPG Z690 CARBON WIFI,LGA1700,4,389.98
MSI,MAG B660M MORTAR WIFI DDR4,LGA1700,4,179.99
MSI,MPG Z690 EDGE WIFI DDR4,LGA1700,4,319.99
Gigabyte,Z690I AORUS ULTRA,LGA1700,2,309.99
