Brand,Name,Type,Efficiency,Wattage,Modular,Price
Corsair,RMx (2021),ATX,80+ Gold,850W,Full,149.99
Corsair,RMx (2018),ATX,80+ Gold,650W,Full,94.99
EVGA,BQ,ATX,80+ Bronze,600W,Semi,52
Corsair,HX Platinum,ATX,80+ Platinum,1000W,Full,204.99
Corsair,RM (2019),ATX,80+ Gold,650W,Full,114.9
Corsair,RMx (2018),ATX,80+ Gold,750W,Full,84.99
Corsair,RM (2019),ATX,80+ Gold,850W,Full,127.87
EVGA,BQ,ATX,80+ Bronze,500W,Semi,39.98
Corsair,CXM,ATX,80+ Bronze,650W,Semi,59.99
Corsair,AXi,ATX,80+ Titanium,1600W,Full,689.98
Corsair,RMx (2018),ATX,80+ Gold,850W,Full,94.99
EVGA,G3,ATX,80+ Gold,550W,Full,67.98
EVGA,BR,ATX,80+ Bronze,500W,No,42.99
Corsair,RMx (2021),ATX,80+ Gold,1000W,Full,189.96
EVGA,SuperNOVA GA,ATX,80+ Gold,750W,Full,99.99
EVGA,B5,ATX,80+ Bronze,650W,Full,49.99
Corsair,CV,ATX,80+ Bronze,450W,No,54.99
Asus,ROG Thor 1200P,ATX,80+ Platinum,1200W,Full,338.99
Cooler Master,MWE GOLD V2,ATX,80+ GOLD,750W,Full,109.98
EVGA,SuperNOVA GA,ATX,80+ Gold,850W,Full,121.85
SeaSonic,FOCUS Plus Gold,ATX,80+ Gold,750W,Full,114.95
Corsair,AX,ATX,80+ Titanium,1000W,Full,1099
EVGA,GD (2019),ATX,80+ Gold,600W,No,84.99
Corsair,RM (2021),ATX,80+ Gold,850W,Full,124.99
Corsair,RMx (2018),ATX,80+ Gold,750W,Full,84.99
EVGA,SuperNOVA G6,ATX,80+ Gold,1000W,Full,146.41
EVGA,BQ,ATX,80+ Bronze,650W,Semi,38.99
Corsair,HX Platinum,ATX,80+ Platinum,1200W,Full,262.26
Corsair,CV,ATX,80+ Bronze,550W,No,44.99
EVGA,BQ,ATX,80+ Bronze,750W,Semi,55.99
SeaSonic,FOCUS Plus Gold,ATX,80+ Gold,650W,Full,105.99
Corsair,RMx (2021),ATX,80+ Gold,750W,Full,119.99
MSI,MPG A-GF,ATX,80+ Gold,650W,Full,94.99
SeaSonic,PRIME Ultra Titanium,ATX,80+ Titanium,1000W,Full,308.98
EVGA,GD (2019),ATX,80+ Gold,500W,No,58.18
EVGA,BR,ATX,80+ Bronze,600W,No,44.99
EVGA,G1+,ATX,80+ Gold,650W,Full,69.99
Corsair,TXM Gold,ATX,80+ Gold,650W,Semi,77.7
EVGA,GD (2019),ATX,80+ Gold,700W,No,69.98
Gigabyte,P GM,ATX,80+ Gold,750W,Full,99.98
Corsair,RMx (2018),ATX,80+ Gold,550W,Full,114.99
Asus,ROG Strix,ATX,80+ Gold,850W,Full,222.53
Corsair,CV,ATX,80+ Bronze,650W,No,69.99
SeaSonic,FOCUS Plus Platinum,ATX,80+ Platinum,850W,Full,189.99
NZXT,C,ATX,80+ Gold,750W,Full,100.75
NZXT,C,ATX,80+ Gold,850W,Full,119.99
be quiet!,Dark Power Pro 12,ATX,80+ Titanium,1500W,Full,449
EVGA,SuperNOVA GT,ATX,80+ Gold,650W,Full,64.98
EVGA,SuperNOVA GA,ATX,80+ Gold,550W,Full,69.9
EVGA,SuperNOVA G6,ATX,80+ Gold,850W,Full,111.9
EVGA,BA,ATX,80+ Bronze,500W,No,42.64
Corsair,CXM,ATX,80+ Bronze,750W,Semi,69.98
ARESGAME,AGV,ATX,80+ Bronze,650W,No,34.99
Corsair,CXF,ATX,80+ Bronze,750W,Full,79.99
EVGA,P2,ATX,80+ Platinum,1000W,Full,226.78
Corsair,RM (2021),ATX,80+ Gold,750W,Full,114.99
Corsair,CX (2017),ATX,80+ Bronze,550W,No,72.98
SeaSonic,FOCUS Plus Gold,ATX,80+ Gold,850W,Full,133.88
MSI,MPG A-GF,ATX,80+ Gold,750W,Full,99.99
SeaSonic,PRIME Platinum,ATX,80+ Platinum,1300W,Full,299.99
Asus,ROG Thor 850,ATX,80+ Platinum,850W,Full,225
Corsair,CXF,ATX,80+ Bronze,750W,Full,79.99
EVGA,BR,ATX,80+ Bronze,450W,No,54.99
EVGA,B5,ATX,80+ Bronze,850W,Full,75.56
SeaSonic,FOCUS GX,ATX,80+ Gold,750W,Full,133.13
Corsair,TXM Gold,ATX,80+ Gold,550W,Semi,99.99
EVGA,BR,ATX,80+ Bronze,700W,No,48
MSI,MPG A-GF,ATX,80+ Gold,850W,Full,109.99
Corsair,RM (2021),ATX,80+ Gold,850W,Full,119.99
SeaSonic,FOCUS Plus Gold,ATX,80+ Gold,550W,Full,91.67
Corsair,TXM Gold,ATX,80+ Gold,750W,Semi,132.29
Corsair,CXM,ATX,80+ Bronze,550W,Semi,84.99
EVGA,BA,ATX,80+ Bronze,600W,No,50.49
Corsair,CXM (2015),ATX,80+ Bronze,450W,Semi,55.99
BitFenix,Formula Gold,ATX,80+ Gold,650W,No,54.9
EVGA,P2,ATX,80+ Platinum,650W,Full,109.99
EVGA,G5,ATX,80+ Gold,650W,Full,89.99
SeaSonic,FOCUS plus Platinum,ATX,80+ Platinum,750W,Full,148.99
